code,name,year,month,year_month,up_count
000526,学大教育,2023,12,2023-12,4
000526,学大教育,2024,12,2024-12,1
000526,学大教育,2025,12,2025-12,2
000529,广弘控股,2023,2,2023-02,1
000529,广弘控股,2024,2,2024-02,1
000529,广弘控股,2025,2,2025-02,1
000530,冰山冷热,2023,10,2023-10,1
000530,冰山冷热,2024,10,2024-10,1
000530,冰山冷热,2025,10,2025-10,1
000531,穗恒运Ａ,2023,2,2023-02,1
000531,穗恒运Ａ,2024,2,2024-02,2
000531,穗恒运Ａ,2025,2,2025-02,1
000532,华金资本,2023,1,2023-01,1
000532,华金资本,2024,1,2024-01,6
000532,华金资本,2025,1,2025-01,2
000532,华金资本,2023,2,2023-02,1
000532,华金资本,2024,2,2024-02,3
000532,华金资本,2025,2,2025-02,2
000532,华金资本,2023,12,2023-12,1
000532,华金资本,2024,12,2024-12,2
000532,华金资本,2025,12,2025-12,1
000533,顺钠股份,2023,2,2023-02,1
000533,顺钠股份,2024,2,2024-02,3
000533,顺钠股份,2025,2,2025-02,2
000534,万泽股份,2023,1,2023-01,2
000534,万泽股份,2024,1,2024-01,1
000534,万泽股份,2025,1,2025-01,1
000536,华映科技,2023,2,2023-02,2
000536,华映科技,2024,2,2024-02,3
000536,华映科技,2025,2,2025-02,3
000536,华映科技,2023,8,2023-08,1
000536,华映科技,2024,8,2024-08,5
000536,华映科技,2025,8,2025-08,2
000536,华映科技,2023,11,2023-11,2
000536,华映科技,2024,11,2024-11,7
000536,华映科技,2025,11,2025-11,2
000536,华映科技,2023,12,2023-12,1
000536,华映科技,2024,12,2024-12,1
000536,华映科技,2025,12,2025-12,2
000546,金圆股份,2023,6,2023-06,2
000546,金圆股份,2024,6,2024-06,1
000546,金圆股份,2025,6,2025-06,1
000546,金圆股份,2023,11,2023-11,1
000546,金圆股份,2024,11,2024-11,3
000546,金圆股份,2025,11,2025-11,5
000546,金圆股份,2023,12,2023-12,2
000546,金圆股份,2024,12,2024-12,1
000546,金圆股份,2025,12,2025-12,3
000547,航天发展,2023,11,2023-11,1
000547,航天发展,2024,11,2024-11,1
000547,航天发展,2025,11,2025-11,7
000550,江铃汽车,2023,9,2023-09,1
